bowl_mat,bowl_sr,catches,econ,player,wkts
2,-,0,-,IR Jaggi,-
2,-,0,10.40,SB Jakati,0
5,17.1,1,7.05,MG Johnson,7
1,6.0,0,9.00,CJ Jordan,1
14,-,8,-,KD Karthik,-
10,13.3,3,8.41,S Kaul,16
3,-,0,9.54,S Kaushik,0
11,24.1,4,7.79,Z Khan,10
10,-,5,-,V Kohli,-
12,20.5,1,8.29,Kuldeep Yadav,12
6,37.6,1,9.18,DS Kulkarni,3
14,12.0,4,7.05,B Kumar,26
6,16.5,0,9.15,P Kumar,6
7,-,2,-,CA Lynn,-
14,17.0,1,9.38,MJ McClenaghan,19
11,-,8,-,BB McCullum,-
12,24.4,1,8.52,SL Malinga,11
11,-,6,-,Mandeep Singh,-
9,-,2,-,SE Marsh,-
3,-,2,11.20,AD Mathews,0
14,16.2,7,6.57,GJ Maxwell,7
5,-,2,-,DA Miller,-
5,21.4,1,8.57,TS Mills,5
4,28.0,4,9.57,AF Milne,3
14,23.3,3,8.83,A Mishra,10
3,33.0,0,5.27,Mohammad Nabi,2
8,31.2,0,9.34,Mohammed Shami,5
6,13.8,1,9.21,Mohammed Siraj,10
4,-,3,-,EJG Morgan,-
9,15.5,5,7.74,CH Morris,12
1,-,0,12.75,Mustafizur Rahman,0
7,17.8,2,6.67,S Nadeem,6
14,-,2,-,KK Nair,-
16,35.4,4,6.98,SP Narine,10
6,38.0,0,9.07,T Natarajan,2
12,12.0,3,6.12,P Negi,16
6,15.8,1,9.30,A Nehra,8
14,-,6,-,NV Ojha,-
14,-,8,-,MK Pandey,-
17,26.0,12,8.19,HH Pandya,6
13,24.0,2,6.82,KH Pandya,10
14,-,8,-,RR Pant,-
14,19.2,7,7.54,AR Patel,15
1,8.0,0,10.75,HV Patel,3
2,42.0,0,8.14,MM Patel,1
16,-,6,-,PA Patel,-
1,-,0,13.00,IK Pathan,0
15,24.0,2,10.25,YK Pathan,1
17,-,15,16.36,KA Pollard,0
6,21.3,0,8.81,K Rabada,6
16,-,6,-,AM Rahane,-
14,72.0,4,8.50,SK Raina,1
5,21.0,1,7.64,AS Rajpoot,4
13,-,4,-,N Rana,-
14,19.0,5,6.62,Rashid Khan,17
5,-,3,-,AT Rayudu,-
3,-,1,-,JJ Roy,-
3,-,2,-,Sachin Baby,-
14,-,10,-,WP Saha,-
14,-,4,-,SV Samson,-
5,-,1,11.33,MN Samuels,0
13,16.9,3,8.29,Sandeep Sharma,17
5,21.6,0,10.05,PJ Sangwan,5
4,-,1,-,V Shankar,-
1,-,0,10.33,Shakib Al Hasan,0
6,-,0,9.94,I Sharma,0
9,14.1,3,6.97,KV Sharma,13
14,21.0,3,8.97,MM Sharma,13
17,-,10,-,RG Sharma,-
7,-,2,-,LMP Simmons,-
2,24.0,0,3.75,NB Singh,1
12,39.0,3,11.38,DR Smith,2
15,-,7,-,SPD Smith,-
3,20.0,1,9.60,TG Southee,3
1,-,0,14.50,BB Sran,0
2,24.0,1,8.75,B Stanlake,2
5,31.5,3,10.47,MP Stoinis,2
12,22.0,5,7.18,BA Stokes,12
4,42.0,1,8.71,Swapnil Singh,1
3,-,0,-,AP Tare,-
1,-,0,9.42,Tejas Baroka,0
3,18.0,0,5.44,R Tewatia,3
12,20.8,4,8.25,SN Thakur,11
15,-,6,-,MK Tiwary,-
1,-,0,-,SS Tiwary,-
14,-,5,12.00,RA Tripathi,0
6,10.5,0,6.71,AJ Tye,12
12,11.4,9,7.02,JD Unadkat,24
14,-,9,-,RV Uthappa,-
1,9.0,0,10.33,R Vinay Kumar,2
3,-,0,-,Vishnu Vinod,-
11,-,2,-,M Vohra,-
14,-,10,-,DA Warner,-
11,22.5,5,6.16,Washington Sundar,8
8,32.2,2,9.13,SR Watson,5
7,-,1,-,KS Williamson,-
13,15.5,6,8.77,CR Woakes,17
2,-,0,7.00,J Yadav,0
10,-,5,-,SA Yadav,-
14,17.1,4,8.45,UT Yadav,17
12,12.0,3,11.00,Yuvraj Singh,1
6,17.0,0,8.21,A Zampa,7
