bat_ave,bat_mat,bat_runs,bat_sr,player
0.66,7,2,22.22,S Nadeem
21.61,14,281,124.33,KK Nair
17.23,16,224,172.30,SP Narine
-,6,-,-,T Natarajan
18.00,12,144,129.72,P Negi
-,6,0,-,A Nehra
19.75,14,79,121.53,NV Ojha
49.50,14,396,128.57,MK Pandey
35.71,17,250,156.25,HH Pandya
34.71,13,243,135.75,KH Pandya
26.14,14,366,165.61,RR Pant
28.37,14,227,140.12,AR Patel
-,1,-,-,HV Patel
0.00,2,0,0.00,MM Patel
24.68,16,395,134.81,PA Patel
2.00,1,2,66.66,IK Pathan
17.87,15,143,124.34,YK Pathan
29.61,17,385,139.49,KA Pollard
18.33,6,55,85.93,K Rabada
25.46,16,382,118.26,AM Rahane
40.18,14,442,143.97,SK Raina
4.00,5,4,57.14,AS Rajpoot
30.27,13,333,126.13,N Rana
5.50,14,11,122.22,Rashid Khan
18.20,5,91,116.66,AT Rayudu
29.50,3,59,147.50,JJ Roy
5.00,3,15,100.00,Sachin Baby
23.40,14,234,125.13,WP Saha
27.57,14,386,141.39,SV Samson
7.25,5,29,93.54,MN Samuels
-,13,7,116.66,Sandeep Sharma
1.00,5,2,50.00,PJ Sangwan
50.50,4,101,134.66,V Shankar
-,1,1,100.00,Shakib Al Hasan
4.00,6,8,66.66,I Sharma
8.16,9,49,119.51,KV Sharma
8.50,14,51,102.00,MM Sharma
23.78,17,333,121.97,RG Sharma
19.57,7,137,122.32,LMP Simmons
-,2,-,-,NB Singh
21.72,12,239,153.20,DR Smith
39.33,15,472,121.96,SPD Smith
7.00,3,7,233.33,TG Southee
-,1,-,-,BB Sran
-,2,-,-,B Stanlake
5.66,5,17,70.83,MP Stoinis
31.60,12,316,142.98,BA Stokes
6.00,4,12,63.15,Swapnil Singh
6.00,3,18,78.26,AP Tare
-,1,-,-,Tejas Baroka
19.00,3,19,172.72,R Tewatia
0.00,12,0,0.00,SN Thakur
32.40,15,324,137.28,MK Tiwary
52.00,1,52,120.93,SS Tiwary
27.92,14,391,146.44,RA Tripathi
26.50,6,53,176.66,AJ Tye
-,12,2,40.00,JD Unadkat
29.84,14,388,165.10,RV Uthappa
-,1,-,-,R Vinay Kumar
6.33,3,19,73.07,Vishnu Vinod
25.44,11,229,144.02,M Vohra
58.27,14,641,141.81,DA Warner
9.00,11,9,75.00,Washington Sundar
11.83,8,71,91.02,SR Watson
42.66,7,256,151.47,KS Williamson
11.50,13,46,97.87,CR Woakes
-,2,-,-,J Yadav
17.50,10,105,119.31,SA Yadav
-,14,10,76.92,UT Yadav
28.00,12,252,142.37,Yuvraj Singh
5.00,6,5,71.42,A Zampa
